ping_id,timestamp,latitude,longitude,heading,altitude,range
1,2026-08-31T12:00:01Z,29.845,-85.421,270.0,12.5,50.0
2,2026-08-31T12:00:02Z,29.845002,-85.421022,270.0,12.5,50.0
3,2026-08-31T12:00:03Z,29.845004,-85.421044,270.0,12.5,50.0
4,2026-08-31T12:00:04Z,29.845006,-85.421066,270.0,12.5,50.0
5,2026-08-31T12:00:05Z,29.845008,-85.421088,270.0,12.5,50.0
6,2026-08-31T12:00:06Z,29.84501,-85.42111,270.0,12.5,50.0
7,2026-08-31T12:00:07Z,29.845012,-85.421132,270.0,12.5,50.0
8,2026-08-31T12:00:08Z,29.845014,-85.421154,270.0,12.5,50.0
9,2026-08-31T12:00:09Z,29.845016,-85.421176,270.0,12.5,50.0
10,2026-08-31T12:00:10Z,29.845018,-85.421198,270.0,12.5,50.0
11,2026-08-31T12:00:11Z,29.84502,-85.42122,270.0,12.5,50.0
12,2026-08-31T12:00:12Z,29.845022,-85.421242,270.0,12.5,50.0
13,2026-08-31T12:00:13Z,29.845024,-85.421264,270.0,12.5,50.0
14,2026-08-31T12:00:14Z,29.845026,-85.421286,270.0,12.5,50.0
15,2026-08-31T12:00:15Z,29.845028,-85.421308,270.0,12.5,50.0
16,2026-08-31T12:00:16Z,29.84503,-85.42133,270.0,12.5,50.0
17,2026-08-31T12:00:17Z,29.845032,-85.421352,270.0,12.5,50.0
18,2026-08-31T12:00:18Z,29.845034,-85.421374,270.0,12.5,50.0
19,2026-08-31T12:00:19Z,29.845036,-85.421396,270.0,12.5,50.0
20,2026-08-31T12:00:20Z,29.845038,-85.421418,270.0,12.5,50.0
21,2026-08-31T12:00:21Z,29.84504,-85.42144,270.0,12.5,50.0
22,2026-08-31T12:00:22Z,29.845042,-85.421462,270.0,12.5,50.0
23,2026-08-31T12:00:23Z,29.845044,-85.421484,270.0,12.5,50.0
24,2026-08-31T12:00:24Z,29.845046,-85.421506,270.0,12.5,50.0
25,2026-08-31T12:00:25Z,29.845048,-85.421528,270.0,12.5,50.0
26,2026-08-31T12:00:26Z,29.84505,-85.42155,270.0,12.5,50.0
27,2026-08-31T12:00:27Z,29.845052,-85.421572,270.0,12.5,50.0
28,2026-08-31T12:00:28Z,29.845054,-85.421594,270.0,12.5,50.0
29,2026-08-31T12:00:29Z,29.845056,-85.421616,270.0,12.5,50.0
30,2026-08-31T12:00:30Z,29.845058,-85.421638,270.0,12.5,50.0
31,2026-08-31T12:00:31Z,29.84506,-85.42166,270.0,12.5,50.0
32,2026-08-31T12:00:32Z,29.845062,-85.421682,270.0,12.5,50.0
33,2026-08-31T12:00:33Z,29.845064,-85.421704,270.0,12.5,50.0
34,2026-08-31T12:00:34Z,29.845066,-85.421726,270.0,12.5,50.0
35,2026-08-31T12:00:35Z,29.845068,-85.421748,270.0,12.5,50.0
36,2026-08-31T12:00:36Z,29.84507,-85.42177,270.0,12.5,50.0
37,2026-08-31T12:00:37Z,29.845072,-85.421792,270.0,12.5,50.0
38,2026-08-31T12:00:38Z,29.845074,-85.421814,270.0,12.5,50.0
39,2026-08-31T12:00:39Z,29.845076,-85.421836,270.0,12.5,50.0
40,2026-08-31T12:00:40Z,29.845078,-85.421858,270.0,12.5,50.0
41,2026-08-31T12:00:41Z,29.84508,-85.42188,270.0,12.5,50.0
42,2026-08-31T12:00:42Z,29.845082,-85.421902,270.0,12.5,50.0
43,2026-08-31T12:00:43Z,29.845084,-85.421924,270.0,12.5,50.0
44,2026-08-31T12:00:44Z,29.845086,-85.421946,270.0,12.5,50.0
45,2026-08-31T12:00:45Z,29.845088,-85.421968,270.0,12.5,50.0
46,2026-08-31T12:00:46Z,29.84509,-85.42199,270.0,12.5,50.0
47,2026-08-31T12:00:47Z,29.845092,-85.422012,270.0,12.5,50.0
48,2026-08-31T12:00:48Z,29.845094,-85.422034,270.0,12.5,50.0
49,2026-08-31T12:00:49Z,29.845096,-85.422056,270.0,12.5,50.0
50,2026-08-31T12:00:50Z,29.845098,-85.422078,270.0,12.5,50.0
51,2026-08-31T12:00:51Z,29.8451,-85.4221,270.0,12.5,50.0
52,2026-08-31T12:00:52Z,29.845102,-85.422122,270.0,12.5,50.0
53,2026-08-31T12:00:53Z,29.845104,-85.422144,270.0,12.5,50.0
54,2026-08-31T12:00:54Z,29.845106,-85.422166,270.0,12.5,50.0
55,2026-08-31T12:00:55Z,29.845108,-85.422188,270.0,12.5,50.0
56,2026-08-31T12:00:56Z,29.84511,-85.42221,270.0,12.5,50.0
57,2026-08-31T12:00:57Z,29.845112,-85.422232,270.0,12.5,50.0
58,2026-08-31T12:00:58Z,29.845114,-85.422254,270.0,12.5,50.0
59,2026-08-31T12:00:59Z,29.845116,-85.422276,270.0,12.5,50.0
60,2026-08-31T12:01:00Z,29.845118,-85.422298,270.0,12.5,50.0
61,2026-08-31T12:01:01Z,29.84512,-85.42232,270.0,12.5,50.0
62,2026-08-31T12:01:02Z,29.845122,-85.422342,270.0,12.5,50.0
63,2026-08-31T12:01:03Z,29.845124,-85.422364,270.0,12.5,50.0
64,2026-08-31T12:01:04Z,29.845126,-85.422386,270.0,12.5,50.0
65,2026-08-31T12:01:05Z,29.845128,-85.422408,270.0,12.5,50.0
66,2026-08-31T12:01:06Z,29.84513,-85.42243,270.0,12.5,50.0
67,2026-08-31T12:01:07Z,29.845132,-85.422452,270.0,12.5,50.0
68,2026-08-31T12:01:08Z,29.845134,-85.422474,270.0,12.5,50.0
69,2026-08-31T12:01:09Z,29.845136,-85.422496,270.0,12.5,50.0
70,2026-08-31T12:01:10Z,29.845138,-85.422518,270.0,12.5,50.0
71,2026-08-31T12:01:11Z,29.84514,-85.42254,270.0,12.5,50.0
72,2026-08-31T12:01:12Z,29.845142,-85.422562,270.0,12.5,50.0
73,2026-08-31T12:01:13Z,29.845144,-85.422584,270.0,12.5,50.0
74,2026-08-31T12:01:14Z,29.845146,-85.422606,270.0,12.5,50.0
75,2026-08-31T12:01:15Z,29.845148,-85.422628,270.0,12.5,50.0
76,2026-08-31T12:01:16Z,29.84515,-85.42265,270.0,12.5,50.0
77,2026-08-31T12:01:17Z,29.845152,-85.422672,270.0,12.5,50.0
78,2026-08-31T12:01:18Z,29.845154,-85.422694,270.0,12.5,50.0
79,2026-08-31T12:01:19Z,29.845156,-85.422716,270.0,12.5,50.0
80,2026-08-31T12:01:20Z,29.845158,-85.422738,270.0,12.5,50.0
81,2026-08-31T12:01:21Z,29.84516,-85.42276,270.0,12.5,50.0
82,2026-08-31T12:01:22Z,29.845162,-85.422782,270.0,12.5,50.0
83,2026-08-31T12:01:23Z,29.845164,-85.422804,270.0,12.5,50.0
84,2026-08-31T12:01:24Z,29.845166,-85.422826,270.0,12.5,50.0
85,2026-08-31T12:01:25Z,29.845168,-85.422848,270.0,12.5,50.0
86,2026-08-31T12:01:26Z,29.84517,-85.42287,270.0,12.5,50.0
87,2026-08-31T12:01:27Z,29.845172,-85.422892,270.0,12.5,50.0
88,2026-08-31T12:01:28Z,29.845174,-85.422914,270.0,12.5,50.0
89,2026-08-31T12:01:29Z,29.845176,-85.422936,270.0,12.5,50.0
90,2026-08-31T12:01:30Z,29.845178,-85.422958,270.0,12.5,50.0
91,2026-08-31T12:01:31Z,29.84518,-85.42298,270.0,12.5,50.0
92,2026-08-31T12:01:32Z,29.845182,-85.423002,270.0,12.5,50.0
93,2026-08-31T12:01:33Z,29.845184,-85.423024,270.0,12.5,50.0
