ping_id,timestamp,latitude,longitude,heading,altitude,range
1,2026-08-31T10:00:00Z,8.02,77.65,115.0,12.0,50.0
2,2026-08-31T10:00:01Z,8.02028,77.65035,115.0,12.0,50.0
3,2026-08-31T10:00:02Z,8.02056,77.6507,115.0,12.0,50.0
4,2026-08-31T10:00:03Z,8.02084,77.65105,115.0,12.0,50.0
5,2026-08-31T10:00:04Z,8.02112,77.6514,115.0,12.0,50.0
6,2026-08-31T10:00:05Z,8.0214,77.65175,115.0,12.0,50.0
7,2026-08-31T10:00:06Z,8.02168,77.6521,115.0,12.0,50.0
8,2026-08-31T10:00:07Z,8.02196,77.65245,115.0,12.0,50.0
9,2026-08-31T10:00:08Z,8.02224,77.6528,115.0,12.0,50.0
10,2026-08-31T10:00:09Z,8.02252,77.65315,115.0,12.0,50.0
11,2026-08-31T10:00:10Z,8.0228,77.6535,115.0,12.0,50.0
12,2026-08-31T10:00:11Z,8.02308,77.65385,115.0,12.0,50.0
13,2026-08-31T10:00:12Z,8.02336,77.6542,115.0,12.0,50.0
14,2026-08-31T10:00:13Z,8.02364,77.65455,115.0,12.0,50.0
15,2026-08-31T10:00:14Z,8.02392,77.6549,115.0,12.0,50.0
16,2026-08-31T10:00:15Z,8.0242,77.65525,115.0,12.0,50.0
17,2026-08-31T10:00:16Z,8.02448,77.6556,115.0,12.0,50.0
18,2026-08-31T10:00:17Z,8.02476,77.65595,115.0,12.0,50.0
19,2026-08-31T10:00:18Z,8.02504,77.6563,115.0,12.0,50.0
20,2026-08-31T10:00:19Z,8.02532,77.65665,115.0,12.0,50.0
21,2026-08-31T10:00:20Z,8.0256,77.657,115.0,12.0,50.0
22,2026-08-31T10:00:21Z,8.02588,77.65735,115.0,12.0,50.0
23,2026-08-31T10:00:22Z,8.02616,77.6577,115.0,12.0,50.0
24,2026-08-31T10:00:23Z,8.02644,77.65805,115.0,12.0,50.0
25,2026-08-31T10:00:24Z,8.02672,77.6584,115.0,12.0,50.0
26,2026-08-31T10:00:25Z,8.027,77.65875,115.0,12.0,50.0
27,2026-08-31T10:00:26Z,8.02728,77.6591,115.0,12.0,50.0
28,2026-08-31T10:00:27Z,8.02756,77.65945,115.0,12.0,50.0
29,2026-08-31T10:00:28Z,8.02784,77.6598,115.0,12.0,50.0
30,2026-08-31T10:00:29Z,8.02812,77.66015,115.0,12.0,50.0
31,2026-08-31T10:00:30Z,8.0284,77.6605,115.0,12.0,50.0
32,2026-08-31T10:00:31Z,8.02868,77.66085,115.0,12.0,50.0
33,2026-08-31T10:00:32Z,8.02896,77.6612,115.0,12.0,50.0
34,2026-08-31T10:00:33Z,8.02924,77.66155,115.0,12.0,50.0
35,2026-08-31T10:00:34Z,8.02952,77.6619,115.0,12.0,50.0
36,2026-08-31T10:00:35Z,8.0298,77.66225,115.0,12.0,50.0
37,2026-08-31T10:00:36Z,8.03008,77.6626,115.0,12.0,50.0
38,2026-08-31T10:00:37Z,8.03036,77.66295,115.0,12.0,50.0
39,2026-08-31T10:00:38Z,8.03064,77.6633,115.0,12.0,50.0
40,2026-08-31T10:00:39Z,8.03092,77.66365,115.0,12.0,50.0
41,2026-08-31T10:00:40Z,8.0312,77.664,115.0,12.0,50.0
42,2026-08-31T10:00:41Z,8.03148,77.66435,115.0,12.0,50.0
43,2026-08-31T10:00:42Z,8.03176,77.6647,115.0,12.0,50.0
44,2026-08-31T10:00:43Z,8.03204,77.66505,115.0,12.0,50.0
45,2026-08-31T10:00:44Z,8.03232,77.6654,115.0,12.0,50.0
46,2026-08-31T10:00:45Z,8.0326,77.66575,115.0,12.0,50.0
47,2026-08-31T10:00:46Z,8.03288,77.6661,115.0,12.0,50.0
48,2026-08-31T10:00:47Z,8.03316,77.66645,115.0,12.0,50.0
49,2026-08-31T10:00:48Z,8.03344,77.6668,115.0,12.0,50.0
50,2026-08-31T10:00:49Z,8.03372,77.66715,115.0,12.0,50.0
51,2026-08-31T10:00:50Z,8.034,77.6675,115.0,12.0,50.0
52,2026-08-31T10:00:51Z,8.03428,77.66785,115.0,12.0,50.0
53,2026-08-31T10:00:52Z,8.03456,77.6682,115.0,12.0,50.0
54,2026-08-31T10:00:53Z,8.03484,77.66855,115.0,12.0,50.0
55,2026-08-31T10:00:54Z,8.03512,77.6689,115.0,12.0,50.0
56,2026-08-31T10:00:55Z,8.0354,77.66925,115.0,12.0,50.0
57,2026-08-31T10:00:56Z,8.03568,77.6696,115.0,12.0,50.0
58,2026-08-31T10:00:57Z,8.03596,77.66995,115.0,12.0,50.0
59,2026-08-31T10:00:58Z,8.03624,77.6703,115.0,12.0,50.0
60,2026-08-31T10:00:59Z,8.03652,77.67065,115.0,12.0,50.0
61,2026-08-31T10:01:00Z,8.0368,77.671,115.0,12.0,50.0
62,2026-08-31T10:01:01Z,8.03708,77.67135,115.0,12.0,50.0
63,2026-08-31T10:01:02Z,8.03736,77.6717,115.0,12.0,50.0
64,2026-08-31T10:01:03Z,8.03764,77.67205,115.0,12.0,50.0
65,2026-08-31T10:01:04Z,8.03792,77.6724,115.0,12.0,50.0
66,2026-08-31T10:01:05Z,8.0382,77.67275,115.0,12.0,50.0
67,2026-08-31T10:01:06Z,8.03848,77.6731,115.0,12.0,50.0
68,2026-08-31T10:01:07Z,8.03876,77.67345,115.0,12.0,50.0
69,2026-08-31T10:01:08Z,8.03904,77.6738,115.0,12.0,50.0
70,2026-08-31T10:01:09Z,8.03932,77.67415,115.0,12.0,50.0
71,2026-08-31T10:01:10Z,8.0396,77.6745,115.0,12.0,50.0
