ping_id,timestamp,latitude,longitude,heading,altitude,range
1,2026-08-31T10:00:00Z,13.045,80.405,42.0,12.0,50.0
2,2026-08-31T10:00:01Z,13.04532,80.40528,42.0,12.0,50.0
3,2026-08-31T10:00:02Z,13.04564,80.40556,42.0,12.0,50.0
4,2026-08-31T10:00:03Z,13.04596,80.40584,42.0,12.0,50.0
5,2026-08-31T10:00:04Z,13.04628,80.40612,42.0,12.0,50.0
6,2026-08-31T10:00:05Z,13.0466,80.4064,42.0,12.0,50.0
7,2026-08-31T10:00:06Z,13.04692,80.40668,42.0,12.0,50.0
8,2026-08-31T10:00:07Z,13.04724,80.40696,42.0,12.0,50.0
9,2026-08-31T10:00:08Z,13.04756,80.40724,42.0,12.0,50.0
10,2026-08-31T10:00:09Z,13.04788,80.40752,42.0,12.0,50.0
11,2026-08-31T10:00:10Z,13.0482,80.4078,42.0,12.0,50.0
12,2026-08-31T10:00:11Z,13.04852,80.40808,42.0,12.0,50.0
13,2026-08-31T10:00:12Z,13.04884,80.40836,42.0,12.0,50.0
14,2026-08-31T10:00:13Z,13.04916,80.40864,42.0,12.0,50.0
15,2026-08-31T10:00:14Z,13.04948,80.40892,42.0,12.0,50.0
16,2026-08-31T10:00:15Z,13.0498,80.4092,42.0,12.0,50.0
17,2026-08-31T10:00:16Z,13.05012,80.40948,42.0,12.0,50.0
18,2026-08-31T10:00:17Z,13.05044,80.40976,42.0,12.0,50.0
19,2026-08-31T10:00:18Z,13.05076,80.41004,42.0,12.0,50.0
20,2026-08-31T10:00:19Z,13.05108,80.41032,42.0,12.0,50.0
21,2026-08-31T10:00:20Z,13.0514,80.4106,42.0,12.0,50.0
22,2026-08-31T10:00:21Z,13.05172,80.41088,42.0,12.0,50.0
23,2026-08-31T10:00:22Z,13.05204,80.41116,42.0,12.0,50.0
24,2026-08-31T10:00:23Z,13.05236,80.41144,42.0,12.0,50.0
25,2026-08-31T10:00:24Z,13.05268,80.41172,42.0,12.0,50.0
26,2026-08-31T10:00:25Z,13.053,80.412,42.0,12.0,50.0
27,2026-08-31T10:00:26Z,13.05332,80.41228,42.0,12.0,50.0
28,2026-08-31T10:00:27Z,13.05364,80.41256,42.0,12.0,50.0
29,2026-08-31T10:00:28Z,13.05396,80.41284,42.0,12.0,50.0
30,2026-08-31T10:00:29Z,13.05428,80.41312,42.0,12.0,50.0
31,2026-08-31T10:00:30Z,13.0546,80.4134,42.0,12.0,50.0
32,2026-08-31T10:00:31Z,13.05492,80.41368,42.0,12.0,50.0
33,2026-08-31T10:00:32Z,13.05524,80.41396,42.0,12.0,50.0
34,2026-08-31T10:00:33Z,13.05556,80.41424,42.0,12.0,50.0
35,2026-08-31T10:00:34Z,13.05588,80.41452,42.0,12.0,50.0
36,2026-08-31T10:00:35Z,13.0562,80.4148,42.0,12.0,50.0
37,2026-08-31T10:00:36Z,13.05652,80.41508,42.0,12.0,50.0
38,2026-08-31T10:00:37Z,13.05684,80.41536,42.0,12.0,50.0
39,2026-08-31T10:00:38Z,13.05716,80.41564,42.0,12.0,50.0
40,2026-08-31T10:00:39Z,13.05748,80.41592,42.0,12.0,50.0
41,2026-08-31T10:00:40Z,13.0578,80.4162,42.0,12.0,50.0
42,2026-08-31T10:00:41Z,13.05812,80.41648,42.0,12.0,50.0
43,2026-08-31T10:00:42Z,13.05844,80.41676,42.0,12.0,50.0
44,2026-08-31T10:00:43Z,13.05876,80.41704,42.0,12.0,50.0
45,2026-08-31T10:00:44Z,13.05908,80.41732,42.0,12.0,50.0
46,2026-08-31T10:00:45Z,13.0594,80.4176,42.0,12.0,50.0
47,2026-08-31T10:00:46Z,13.05972,80.41788,42.0,12.0,50.0
48,2026-08-31T10:00:47Z,13.06004,80.41816,42.0,12.0,50.0
49,2026-08-31T10:00:48Z,13.06036,80.41844,42.0,12.0,50.0
50,2026-08-31T10:00:49Z,13.06068,80.41872,42.0,12.0,50.0
51,2026-08-31T10:00:50Z,13.061,80.419,42.0,12.0,50.0
52,2026-08-31T10:00:51Z,13.06132,80.41928,42.0,12.0,50.0
53,2026-08-31T10:00:52Z,13.06164,80.41956,42.0,12.0,50.0
54,2026-08-31T10:00:53Z,13.06196,80.41984,42.0,12.0,50.0
55,2026-08-31T10:00:54Z,13.06228,80.42012,42.0,12.0,50.0
56,2026-08-31T10:00:55Z,13.0626,80.4204,42.0,12.0,50.0
57,2026-08-31T10:00:56Z,13.06292,80.42068,42.0,12.0,50.0
58,2026-08-31T10:00:57Z,13.06324,80.42096,42.0,12.0,50.0
59,2026-08-31T10:00:58Z,13.06356,80.42124,42.0,12.0,50.0
60,2026-08-31T10:00:59Z,13.06388,80.42152,42.0,12.0,50.0
61,2026-08-31T10:01:00Z,13.0642,80.4218,42.0,12.0,50.0
62,2026-08-31T10:01:01Z,13.06452,80.42208,42.0,12.0,50.0
63,2026-08-31T10:01:02Z,13.06484,80.42236,42.0,12.0,50.0
64,2026-08-31T10:01:03Z,13.06516,80.42264,42.0,12.0,50.0
65,2026-08-31T10:01:04Z,13.06548,80.42292,42.0,12.0,50.0
66,2026-08-31T10:01:05Z,13.0658,80.4232,42.0,12.0,50.0
67,2026-08-31T10:01:06Z,13.06612,80.42348,42.0,12.0,50.0
68,2026-08-31T10:01:07Z,13.06644,80.42376,42.0,12.0,50.0
69,2026-08-31T10:01:08Z,13.06676,80.42404,42.0,12.0,50.0
70,2026-08-31T10:01:09Z,13.06708,80.42432,42.0,12.0,50.0
71,2026-08-31T10:01:10Z,13.0674,80.4246,42.0,12.0,50.0
72,2026-08-31T10:01:11Z,13.06772,80.42488,42.0,12.0,50.0
73,2026-08-31T10:01:12Z,13.06804,80.42516,42.0,12.0,50.0
74,2026-08-31T10:01:13Z,13.06836,80.42544,42.0,12.0,50.0
75,2026-08-31T10:01:14Z,13.06868,80.42572,42.0,12.0,50.0
76,2026-08-31T10:01:15Z,13.069,80.426,42.0,12.0,50.0
77,2026-08-31T10:01:16Z,13.06932,80.42628,42.0,12.0,50.0
78,2026-08-31T10:01:17Z,13.06964,80.42656,42.0,12.0,50.0
79,2026-08-31T10:01:18Z,13.06996,80.42684,42.0,12.0,50.0
80,2026-08-31T10:01:19Z,13.07028,80.42712,42.0,12.0,50.0
81,2026-08-31T10:01:20Z,13.0706,80.4274,42.0,12.0,50.0
82,2026-08-31T10:01:21Z,13.07092,80.42768,42.0,12.0,50.0
83,2026-08-31T10:01:22Z,13.07124,80.42796,42.0,12.0,50.0
84,2026-08-31T10:01:23Z,13.07156,80.42824,42.0,12.0,50.0
85,2026-08-31T10:01:24Z,13.07188,80.42852,42.0,12.0,50.0
86,2026-08-31T10:01:25Z,13.0722,80.4288,42.0,12.0,50.0
87,2026-08-31T10:01:26Z,13.07252,80.42908,42.0,12.0,50.0
88,2026-08-31T10:01:27Z,13.07284,80.42936,42.0,12.0,50.0
89,2026-08-31T10:01:28Z,13.07316,80.42964,42.0,12.0,50.0
90,2026-08-31T10:01:29Z,13.07348,80.42992,42.0,12.0,50.0
91,2026-08-31T10:01:30Z,13.0738,80.4302,42.0,12.0,50.0
92,2026-08-31T10:01:31Z,13.07412,80.43048,42.0,12.0,50.0
93,2026-08-31T10:01:32Z,13.07444,80.43076,42.0,12.0,50.0
94,2026-08-31T10:01:33Z,13.07476,80.43104,42.0,12.0,50.0
95,2026-08-31T10:01:34Z,13.07508,80.43132,42.0,12.0,50.0
96,2026-08-31T10:01:35Z,13.0754,80.4316,42.0,12.0,50.0
97,2026-08-31T10:01:36Z,13.07572,80.43188,42.0,12.0,50.0
98,2026-08-31T10:01:37Z,13.07604,80.43216,42.0,12.0,50.0
99,2026-08-31T10:01:38Z,13.07636,80.43244,42.0,12.0,50.0
100,2026-08-31T10:01:39Z,13.07668,80.43272,42.0,12.0,50.0
101,2026-08-31T10:01:40Z,13.077,80.433,42.0,12.0,50.0
102,2026-08-31T10:01:41Z,13.07732,80.43328,42.0,12.0,50.0
103,2026-08-31T10:01:42Z,13.07764,80.43356,42.0,12.0,50.0
