tile_id,source_image,source_site,source_split,component_idx,bbox_x,bbox_y,bbox_w,bbox_h,bbox_area,pixel_area,aspect_ratio,density,touches_left,touches_right,touches_top,touches_bottom,touches_boundary
Artificial_Reef_06__tile_r0002_c0000,Artificial_Reef_06.png,Artificial_Reef,test,1,485,242,155,165,25575,9140,0.939,0.3574,False,True,False,False,True
Artificial_Reef_06__tile_r0002_c0000,Artificial_Reef_06.png,Artificial_Reef,test,2,568,345,55,29,1595,206,1.897,0.1292,False,False,False,False,False
Artificial_Reef_06__tile_r0002_c0000,Artificial_Reef_06.png,Artificial_Reef,test,3,560,375,6,9,54,35,0.667,0.6481,False,False,False,False,False
Artificial_Reef_06__tile_r0002_c0000,Artificial_Reef_06.png,Artificial_Reef,test,4,546,388,11,10,110,68,1.1,0.6182,False,False,False,False,False
Artificial_Reef_06__tile_r0002_c0001,Artificial_Reef_06.png,Artificial_Reef,test,1,0,242,212,165,34980,10565,1.285,0.302,True,False,False,False,True
Artificial_Reef_06__tile_r0002_c0001,Artificial_Reef_06.png,Artificial_Reef,test,2,195,268,8,7,56,31,1.143,0.5536,False,False,False,False,False
Artificial_Reef_06__tile_r0002_c0001,Artificial_Reef_06.png,Artificial_Reef,test,3,56,345,55,29,1595,206,1.897,0.1292,False,False,False,False,False
Artificial_Reef_06__tile_r0002_c0001,Artificial_Reef_06.png,Artificial_Reef,test,4,48,375,6,9,54,35,0.667,0.6481,False,False,False,False,False
Artificial_Reef_06__tile_r0002_c0001,Artificial_Reef_06.png,Artificial_Reef,test,5,34,388,11,10,110,68,1.1,0.6182,False,False,False,False,False
Barge_No_1_02__tile_r0000_c0000,Barge_No_1_02.png,Barge_No_1,test,1,95,630,17,10,170,123,1.7,0.7235,False,False,False,True,True
Barge_No_1_02__tile_r0001_c0000,Barge_No_1_02.png,Barge_No_1,test,1,0,118,173,447,77331,36663,0.387,0.4741,True,False,False,False,True
Barge_No_1_02__tile_r0002_c0000,Barge_No_1_02.png,Barge_No_1,test,1,0,0,37,53,1961,1051,0.698,0.536,True,False,True,False,True
Barge_No_1_03__tile_r0002_c0002,Barge_No_1_03.png,Barge_No_1,test,1,218,589,28,37,1036,522,0.757,0.5039,False,False,False,False,False
Barge_No_1_03__tile_r0002_c0002,Barge_No_1_03.png,Barge_No_1,test,2,178,623,10,17,170,118,0.588,0.6941,False,False,False,True,True
Barge_No_1_03__tile_r0002_c0002,Barge_No_1_03.png,Barge_No_1,test,3,227,629,41,11,451,297,3.727,0.6585,False,False,False,True,True
Barge_No_1_03__tile_r0003_c0001,Barge_No_1_03.png,Barge_No_1,test,1,524,272,116,248,28768,15828,0.468,0.5502,False,True,False,False,True
Barge_No_1_03__tile_r0003_c0002,Barge_No_1_03.png,Barge_No_1,test,1,218,77,28,37,1036,522,0.757,0.5039,False,False,False,False,False
Barge_No_1_03__tile_r0003_c0002,Barge_No_1_03.png,Barge_No_1,test,2,178,111,15,32,480,244,0.469,0.5083,False,False,False,False,False
Barge_No_1_03__tile_r0003_c0002,Barge_No_1_03.png,Barge_No_1,test,3,12,117,301,403,121303,49516,0.747,0.4082,False,False,False,False,False
