site_id,source_images_count,tiles_count,positive_tiles_count,negative_tiles_count,boxes_count
Artificial_Reef,6,120,2,118,2
Barge_No_1,15,388,40,348,45
Corsair,4,64,3,61,3
Corsican,6,96,7,89,8
DM_Wilson,22,1372,89,1283,141
DR_Hanna,5,100,11,89,12
EB_Allen,24,384,56,328,67
Egyptian,15,236,50,186,154
Exploratory_A,2,216,0,216,0
Exploratory_B,13,544,0,544,0
Exploratory_C,2,296,0,296,0
Grecian,5,48,19,29,27
Haltiner_Barge,13,512,18,494,31
Heart_Failure,12,152,21,131,38
Isaac_M_Scott,6,104,23,81,25
James_Davidson,4,216,14,202,16
Lucinda_van_Valkenburg,19,372,76,296,125
Mischelley_Reef,8,428,0,428,0
Monohansett,5,296,27,269,45
Monrovia,8,128,61,67,118
Montana,8,188,75,113,102
Near_Shore,6,448,29,419,50
Oscar_T_Flint,22,468,31,437,67
Pewabic,5,80,24,56,43
Shamrock,6,112,12,100,12
Viator,11,236,44,192,51
WH_Gilbert,6,64,16,48,38
WP_Rend,11,280,70,210,200
WP_Thew,17,408,56,352,80
