tile_id,source_image,source_site,split
Exploratory_A_01__tile_r0000_c0000,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0000_c0001,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0000_c0002,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0000_c0003,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0001_c0000,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0001_c0001,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0001_c0002,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0001_c0003,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0002_c0000,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0002_c0001,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0002_c0002,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0002_c0003,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0003_c0000,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0003_c0001,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0003_c0002,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0003_c0003,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0004_c0000,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0004_c0001,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0004_c0002,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0004_c0003,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0005_c0000,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0005_c0001,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0005_c0002,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0005_c0003,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0006_c0000,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0006_c0001,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0006_c0002,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0006_c0003,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0007_c0000,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0007_c0001,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0007_c0002,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0007_c0003,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0008_c0000,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0008_c0001,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0008_c0002,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0008_c0003,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0009_c0000,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0009_c0001,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0009_c0002,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0009_c0003,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0010_c0000,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0010_c0001,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0010_c0002,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0010_c0003,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0011_c0000,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0011_c0001,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0011_c0002,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0011_c0003,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0012_c0000,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0012_c0001,Exploratory_A_01.png,Exploratory_A,train
Exploratory_A_01__tile_r0012_c0002,Exploratory_A_01.png,Exploratory_A,train
