component_id,filename,split,x,y,bbox_width,bbox_height,bbox_area,pixel_area,aspect_ratio
test_Artificial_Reef_06.png_comp_001,Artificial_Reef_06.png,test,485,1266,239,165,39435,11513,1.448
test_Artificial_Reef_06.png_comp_002,Artificial_Reef_06.png,test,707,1292,8,7,56,31,1.143
test_Artificial_Reef_06.png_comp_003,Artificial_Reef_06.png,test,568,1369,55,29,1595,206,1.897
test_Artificial_Reef_06.png_comp_004,Artificial_Reef_06.png,test,560,1399,6,9,54,35,0.667
test_Artificial_Reef_06.png_comp_005,Artificial_Reef_06.png,test,546,1412,11,10,110,68,1.1
test_Barge_No_1_02.png_comp_001,Barge_No_1_02.png,test,0,630,173,447,77331,36663,0.387
test_Barge_No_1_03.png_comp_001,Barge_No_1_03.png,test,1242,1613,28,37,1036,522,0.757
test_Barge_No_1_03.png_comp_002,Barge_No_1_03.png,test,1202,1647,15,32,480,244,0.469
test_Barge_No_1_03.png_comp_003,Barge_No_1_03.png,test,1036,1653,301,403,121303,49516,0.747
test_Barge_No_1_04.png_comp_001,Barge_No_1_04.png,test,922,573,106,321,34026,12439,0.33
test_Barge_No_1_04.png_comp_002,Barge_No_1_04.png,test,707,640,85,368,31280,15666,0.231
test_Barge_No_1_04.png_comp_003,Barge_No_1_04.png,test,629,2128,65,16,1040,487,4.062
test_Barge_No_1_05.png_comp_001,Barge_No_1_05.png,test,711,496,58,28,1624,535,2.071
test_Barge_No_1_05.png_comp_002,Barge_No_1_05.png,test,1645,575,30,46,1380,745,0.652
test_Barge_No_1_05.png_comp_003,Barge_No_1_05.png,test,174,1580,318,431,137058,51925,0.738
test_Barge_No_1_05.png_comp_004,Barge_No_1_05.png,test,350,1608,22,31,682,365,0.71
test_Barge_No_1_06.png_comp_001,Barge_No_1_06.png,test,1563,523,165,457,75405,44858,0.361
test_Barge_No_1_14.png_comp_001,Barge_No_1_14.png,test,1292,487,79,15,1185,732,5.267
test_Barge_No_1_14.png_comp_002,Barge_No_1_14.png,test,1475,1797,198,552,109296,62015,0.359
test_Barge_No_1_14.png_comp_003,Barge_No_1_14.png,test,1478,1838,42,33,1386,559,1.273
test_Barge_No_1_14.png_comp_004,Barge_No_1_14.png,test,1230,2179,9,6,54,20,1.5
test_Barge_No_1_14.png_comp_005,Barge_No_1_14.png,test,1368,2202,7,18,126,58,0.389
test_Barge_No_1_14.png_comp_006,Barge_No_1_14.png,test,1226,2210,7,10,70,43,0.7
test_Barge_No_1_14.png_comp_007,Barge_No_1_14.png,test,1213,2233,10,14,140,52,0.714
test_Barge_No_1_14.png_comp_008,Barge_No_1_14.png,test,1244,2518,10,33,330,152,0.303
test_Barge_No_1_15.png_comp_001,Barge_No_1_15.png,test,1001,725,190,558,106020,64355,0.341
test_Barge_No_1_15.png_comp_002,Barge_No_1_15.png,test,1169,2594,79,15,1185,740,5.267
test_Barge_No_1_15.png_comp_003,Barge_No_1_15.png,test,153,2673,32,81,2592,592,0.395
test_Corsair_02.png_comp_001,Corsair_02.png,test,397,849,172,96,16512,7399,1.792
