tile_id,source_image,source_site,source_split,number_of_components,number_of_filtered_components,number_of_groups,number_of_final_boxes,boundary_box_count
Exploratory_A_01__tile_r0000_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0000_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0000_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0000_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0001_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0001_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0001_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0001_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0002_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0002_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0002_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0002_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0003_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0003_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0003_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0003_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0004_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0004_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0004_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0004_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0005_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0005_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0005_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0005_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0006_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0006_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0006_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0006_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0007_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0007_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0007_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0007_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0008_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0008_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0008_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0008_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0009_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0009_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0009_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0009_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0010_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0010_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0010_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0010_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0011_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0011_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0011_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0011_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0012_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0012_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0012_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0012_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0013_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0013_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0013_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0013_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0014_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0014_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0014_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0014_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0015_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0015_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0015_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0015_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0016_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0016_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0016_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0016_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0017_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0017_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0017_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0017_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0018_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0018_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0018_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0018_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0019_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0019_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0019_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0019_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0020_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0020_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0020_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0020_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0021_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0021_c0001,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0021_c0002,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0021_c0003,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
Exploratory_A_01__tile_r0022_c0000,Exploratory_A_01.png,Exploratory_A,extras,0,0,0,0,0
